id,nome,rango,intervallo_iniziale,intervallo_finale,eta_massima,eta_minima,longitudine,latitudine,codice_paese,stato_regione,formazione,gruppo_geologico,phylum,classe,ordine,famiglia,genere,origine_dataset,fonte_riempimento_tassonomia
144305,Saurornitholestes,genus,Early Maastrichtian,,72.2,66.0,22.9158,45.547501,RO,Hunedoara,Sînpetru,,Chordata,Reptilia,Saurischia,Dromaeosauridae,Saurornitholestes,0,dataset_extra_dinosauri
144307,Bistahieversor sealeyi,species,Late Campanian,,83.6,72.2,-107.966393,36.06028,US,New Mexico,Fruitland,,Chordata,Reptilia,Saurischia,Tyrannosauridae,Bistahieversor,0,dataset_extra_dinosauri
146081,Abelisauridae,family,Late Maastrichtian,,72.2,66.0,-65.940002,-17.687,BO,Cochabamba,El Molino,Puca,Chordata,Reptilia,Saurischia,Abelisauridae,,0,post_dataset_extra_famiglia_to_ordine
147092,Pachycephalosaurus wyomingensis,species,Maastrichtian,,72.2,66.0,-106.227776,47.695831,US,Montana,Hell Creek,,Chordata,Ornithischia,Ornithischia,Pachycephalosauridae,Pachycephalosaurus,0,dataset_extra_dinosauri
147093,Hadrosauridae,family,Maastrichtian,,72.2,66.0,-106.227776,47.695831,US,Montana,Hell Creek,,Chordata,Ornithischia,Ornithischia,Hadrosauridae,,0,post_dataset_extra_famiglia_to_ordine
148500,Sonorasaurus thompsoni,species,Late Albian,Early Cenomanian,106.3,93.9,-110.418053,31.81139,US,Arizona,Turney Ranch,Bisbee,Chordata,Saurischia,Saurischia,Brachiosauridae,Sonorasaurus,0,dataset_extra_dinosauri
148628,Mononykus olecranus,species,Maastrichtian,,72.2,66.0,99.599998,43.540001,MN,Omnogov,Nemegt,,Chordata,Reptilia,Saurischia,Alvarezsauridae,Mononykus,0,dataset_extra_dinosauri
148629,Tarbosaurus bataar,species,Maastrichtian,,72.2,66.0,99.599998,43.540001,MN,Omnogov,Nemegt,,Chordata,Reptilia,Saurischia,Tyrannosauridae,Tarbosaurus,0,dataset_extra_dinosauri
149328,Coeluridae,family,Late Maastrichtian,,72.2,66.0,-106.099998,47.799999,US,Montana,Hell Creek,,Chordata,Reptilia,,Coeluridae,,0,
149586,Carnosauria,infraorder,Late Maastrichtian,,72.2,66.0,-65.26667,-24.299999,AR,Salta,Yacoraite,Salta,Chordata,Reptilia,Avetheropoda,,,0,
149592,Allosaurus fragilis,species,Kimmeridgian,Tithonian,154.8,143.1,-106.041,41.893101,US,Wyoming,Morrison,,Chordata,Reptilia,Saurischia,Allosauridae,Allosaurus,0,dataset_extra_dinosauri
149596,Allosaurus fragilis,species,Kimmeridgian,Tithonian,154.8,143.1,-106.389999,42.035831,US,Wyoming,Morrison,,Chordata,Reptilia,Saurischia,Allosauridae,Allosaurus,0,dataset_extra_dinosauri
149597,Allosaurus fragilis,species,Kimmeridgian,Tithonian,154.8,143.1,-106.389999,42.035831,US,Wyoming,Morrison,,Chordata,Reptilia,Saurischia,Allosauridae,Allosaurus,0,dataset_extra_dinosauri
149598,Diplodocus,genus,Kimmeridgian,Tithonian,154.8,143.1,-106.389999,42.035831,US,Wyoming,Morrison,,Chordata,Saurischia,Saurischia,Diplodocidae,Diplodocus,0,dataset_extra_dinosauri
149599,Stegosaurus,genus,Kimmeridgian,Tithonian,154.8,143.1,-106.389999,42.035831,US,Wyoming,Morrison,,Chordata,Ornithischia,Ornithischia,Stegosauridae,Stegosaurus,0,dataset_extra_dinosauri
