genere,genere_key,phylum,classe,ordine,famiglia,fonte_lookup
chinshakiangosaurus,chinshakiangosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
chirostenotes,chirostenotes,Chordata,Reptilia,Saurischia,Caenagnathidae,data.csv_taxonomy
chubutisaurus,chubutisaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
chungkingosaurus,chungkingosaurus,Chordata,Reptilia,Ornithischia,Stegosauridae,data.csv_taxonomy
citipati,citipati,Chordata,Reptilia,Saurischia,Oviraptoridae,data.csv_taxonomy
coelophysis,coelophysis,Chordata,Reptilia,Saurischia,Coelophysidae,data.csv_taxonomy
coelurus,coelurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
coloradisaurus,coloradisaurus,Chordata,Reptilia,Saurischia,Plateosauridae,data.csv_taxonomy
compsognathus,compsognathus,Chordata,Reptilia,Saurischia,Compsognathidae,data.csv_taxonomy
conchoraptor,conchoraptor,Chordata,Reptilia,Saurischia,Oviraptoridae,data.csv_taxonomy
confuciusornis,confuciusornis,Chordata,Reptilia,Saurischia,Confuciusornithidae,data.csv_taxonomy
corythosaurus,corythosaurus,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
cryolophosaurus,cryolophosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
dacentrurus,dacentrurus,Chordata,Reptilia,Ornithischia,Stegosauridae,data.csv_taxonomy
daspletosaurus,daspletosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,data.csv_taxonomy
datousaurus,datousaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
deinocheirus,deinocheirus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
deinonychus,deinonychus,Chordata,Reptilia,Saurischia,Dromaeosauridae,data.csv_taxonomy
deltadromeus,deltadromeus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
dicraeosaurus,dicraeosaurus,Chordata,Reptilia,Saurischia,Dicraeosauridae,data.csv_taxonomy
dilophosaurus,dilophosaurus,Chordata,Reptilia,Saurischia,Dilophosauridae,data.csv_taxonomy
diplodocus,diplodocus,Chordata,Reptilia,Saurischia,Diplodocidae,data.csv_taxonomy
dromaeosaurus,dromaeosaurus,Chordata,Reptilia,Saurischia,Dromaeosauridae,data.csv_taxonomy
dromiceiomimus,dromiceiomimus,Chordata,Reptilia,Saurischia,Ornithomimidae,data.csv_taxonomy
dryosaurus,dryosaurus,Chordata,Reptilia,Ornithischia,Dryosauridae,data.csv_taxonomy
dryptosaurus,dryptosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
dubreuillosaurus,dubreuillosaurus,Chordata,Reptilia,Saurischia,Megalosauridae,data.csv_taxonomy
edmontonia,edmontonia,Chordata,Reptilia,Ornithischia,Nodosauridae,data.csv_taxonomy
edmontosaurus,edmontosaurus,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
einiosaurus,einiosaurus,Chordata,Reptilia,Ornithischia,Ceratopsidae,data.csv_taxonomy
elaphrosaurus,elaphrosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
emausaurus,emausaurus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
eolambia,eolambia,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
eoraptor,eoraptor,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
eotyrannus,eotyrannus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
equijubus,equijubus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
erketu,erketu,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
erlikosaurus,erlikosaurus,Chordata,Reptilia,Saurischia,Therizinosauridae,data.csv_taxonomy
euhelopus,euhelopus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
euoplocephalus,euoplocephalus,Chordata,Reptilia,Ornithischia,Ankylosauridae,data.csv_taxonomy
europasaurus,europasaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
eustreptospondylus,eustreptospondylus,Chordata,Reptilia,Saurischia,Megalosauridae,data.csv_taxonomy
fukuiraptor,fukuiraptor,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
fukuisaurus,fukuisaurus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
gallimimus,gallimimus,Chordata,Reptilia,Saurischia,Ornithomimidae,data.csv_taxonomy
gargoyleosaurus,gargoyleosaurus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
garudimimus,garudimimus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
gasosaurus,gasosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
gasparinisaura,gasparinisaura,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
gastonia,gastonia,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
giganotosaurus,giganotosaurus,Chordata,Reptilia,Saurischia,Carcharodontosauridae,data.csv_taxonomy
gilmoreosaurus,gilmoreosaurus,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
giraffatitan,giraffatitan,Chordata,Reptilia,Saurischia,Brachiosauridae,data.csv_taxonomy
gobisaurus,gobisaurus,Chordata,Reptilia,Ornithischia,Ankylosauridae,data.csv_taxonomy
gorgosaurus,gorgosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,data.csv_taxonomy
goyocephale,goyocephale,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
graciliceratops,graciliceratops,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
gryposaurus,gryposaurus,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
guaibasaurus,guaibasaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
guanlong,guanlong,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
hadrosaurus,hadrosaurus,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
hagryphus,hagryphus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
haplocanthosaurus,haplocanthosaurus,Chordata,Reptilia,Saurischia,Camarasauridae,data.csv_taxonomy
harpymimus,harpymimus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
herrerasaurus,herrerasaurus,Chordata,Reptilia,Saurischia,Herrerasauridae,data.csv_taxonomy
hesperosaurus,hesperosaurus,Chordata,Reptilia,Ornithischia,Stegosauridae,data.csv_taxonomy
heterodontosaurus,heterodontosaurus,Chordata,Reptilia,Ornithischia,Heterodontosauridae,data.csv_taxonomy
heyuannia,heyuannia,Chordata,Reptilia,Saurischia,Oviraptoridae,data.csv_taxonomy
homalocephale,homalocephale,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
huayangosaurus,huayangosaurus,Chordata,Reptilia,Ornithischia,Huayangosauridae,data.csv_taxonomy
hylaeosaurus,hylaeosaurus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
hypacrosaurus,hypacrosaurus,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
hypsilophodon,hypsilophodon,Chordata,Reptilia,Ornithischia,Hypsilophodontidae,data.csv_taxonomy
iguanodon,iguanodon,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
indosuchus,indosuchus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
irritator,irritator,Chordata,Reptilia,Saurischia,Spinosauridae,data.csv_taxonomy
isisaurus,isisaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
janenschia,janenschia,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
jaxartosaurus,jaxartosaurus,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
jingshanosaurus,jingshanosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
jinzhousaurus,jinzhousaurus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
jobaria,jobaria,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
juravenator,juravenator,Chordata,Reptilia,Saurischia,Compsognathidae,data.csv_taxonomy
kentrosaurus,kentrosaurus,Chordata,Reptilia,Ornithischia,Stegosauridae,data.csv_taxonomy
khaan,khaan,Chordata,Reptilia,Saurischia,Oviraptoridae,data.csv_taxonomy
kotasaurus,kotasaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
kritosaurus,kritosaurus,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
lambeosaurus,lambeosaurus,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
lapparentosaurus,lapparentosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
leaellynasaura,leaellynasaura,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
leptoceratops,leptoceratops,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
lesothosaurus,lesothosaurus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
liaoceratops,liaoceratops,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
ligabuesaurus,ligabuesaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
liliensternus,liliensternus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
lophorhothon,lophorhothon,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
lophostropheus,lophostropheus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
lufengosaurus,lufengosaurus,Chordata,Reptilia,Saurischia,Plateosauridae,data.csv_taxonomy
lurdusaurus,lurdusaurus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
lycorhinus,lycorhinus,Chordata,Reptilia,Ornithischia,Heterodontosauridae,data.csv_taxonomy
magyarosaurus,magyarosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
maiasaura,maiasaura,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
majungasaurus,majungasaurus,Chordata,Reptilia,Saurischia,Abelisauridae,data.csv_taxonomy
malawisaurus,malawisaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
mamenchisaurus,mamenchisaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
mapusaurus,mapusaurus,Chordata,Reptilia,Saurischia,Allosauridae,data.csv_taxonomy
marshosaurus,marshosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
masiakasaurus,masiakasaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
massospondylus,massospondylus,Chordata,Reptilia,Saurischia,Plateosauridae,data.csv_taxonomy
maxakalisaurus,maxakalisaurus,Chordata,Reptilia,Saurischia,Saltasauridae,data.csv_taxonomy
megalosaurus,megalosaurus,Chordata,Reptilia,Saurischia,Megalosauridae,data.csv_taxonomy
melanorosaurus,melanorosaurus,Chordata,Reptilia,Saurischia,Melanorosauridae,data.csv_taxonomy
metriacanthosaurus,metriacanthosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
microceratus,microceratus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
micropachycephalosaurus,micropachycephalosaurus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
microraptor,microraptor,Chordata,Reptilia,Saurischia,Dromaeosauridae,data.csv_taxonomy
minmi,minmi,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
monolophosaurus,monolophosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
mononykus,mononykus,Chordata,Reptilia,Saurischia,Alvarezsauridae,data.csv_taxonomy
mussaurus,mussaurus,Chordata,Reptilia,Saurischia,Plateosauridae,data.csv_taxonomy
muttaburrasaurus,muttaburrasaurus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
nanshiungosaurus,nanshiungosaurus,Chordata,Reptilia,Saurischia,Therizinosauridae,data.csv_taxonomy
nedoceratops,nedoceratops,Chordata,Reptilia,Ornithischia,Ceratopsidae,data.csv_taxonomy
