genere,genere_key,phylum,classe,ordine,famiglia,fonte_lookup
Diplodocus,diplodocus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Apatosaurus,apatosaurus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Apatosaurus,apatosaurus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Dilophosauripus,dilophosauripus,Chordata,Reptilia,Saurischia,Grallatoridae,dinosaurs.csv
Malawisaurus,malawisaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Malawisaurus,malawisaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Epachthosaurus,epachthosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Rapetosaurus,rapetosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Rapetosaurus,rapetosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Megalosaurus,megalosaurus,Chordata,Reptilia,Saurischia,Megalosauridae,dinosaurs.csv
Rhoetosaurus,rhoetosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Coelurus,coelurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Camarasaurus,camarasaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Brachiosaurus,brachiosaurus,Chordata,Reptilia,Saurischia,Brachiosauridae,dinosaurs.csv
Ceratosaurus,ceratosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Camarasaurus,camarasaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Haplocanthosaurus,haplocanthosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Brontosaurus,brontosaurus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Coelurus,coelurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Brachiosaurus,brachiosaurus,Chordata,Reptilia,Saurischia,Brachiosauridae,dinosaurs.csv
Diplodocus,diplodocus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Camarasaurus,camarasaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Diplodocus,diplodocus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Camarasaurus,camarasaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Apatosaurus,apatosaurus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Camarasaurus,camarasaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Apatosaurus,apatosaurus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Camarasaurus,camarasaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Barosaurus,barosaurus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Diplodocus,diplodocus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Diplodocus,diplodocus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Camarasaurus,camarasaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Coelurus,coelurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Camarasaurus,camarasaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Coelurus,coelurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Brontosaurus,brontosaurus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Brontosaurus,brontosaurus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Camarasaurus,camarasaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Coelurus,coelurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Diplodocus,diplodocus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Apatosaurus,apatosaurus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Diplodocus,diplodocus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Apatosaurus,apatosaurus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Camarasaurus,camarasaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Ceratosaurus,ceratosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Losillasaurus,losillasaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Antetonitrus,antetonitrus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Saltasaurus,saltasaurus,Chordata,Reptilia,Saurischia,Saltasauridae,dinosaurs.csv
Noasaurus,noasaurus,Chordata,Reptilia,Saurischia,Noasauridae,dinosaurs.csv
Saurornithoides,saurornithoides,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Tangvayosaurus,tangvayosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Tangvayosaurus,tangvayosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Hadrosaurichnus,hadrosaurichnus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Salfitichnus,salfitichnus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Troodon,troodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Troodon,troodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Sinornithoides,sinornithoides,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Nanshiungosaurus,nanshiungosaurus,Chordata,Reptilia,Saurischia,Therizinosauridae,dinosaurs.csv
Hudiesaurus,hudiesaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Sinraptor,sinraptor,Chordata,Reptilia,Saurischia,Neovenatoridae,dinosaurs.csv
Baryonyx,baryonyx,Chordata,Reptilia,Saurischia,Spinosauridae,dinosaurs.csv
Baryonyx,baryonyx,Chordata,Reptilia,Saurischia,Spinosauridae,dinosaurs.csv
Baryonyx,baryonyx,Chordata,Reptilia,Saurischia,Spinosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Troodon,troodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Troodon,troodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Byronosaurus,byronosaurus,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Titanosaurus,titanosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Unquillosaurus,unquillosaurus,Chordata,Reptilia,Saurischia,Carcharodontosauridae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Bonitasaura,bonitasaura,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Huabeisaurus,huabeisaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Andesaurus,andesaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Titanosaurus,titanosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Unaysaurus,unaysaurus,Chordata,Reptilia,Saurischia,Plateosauridae,dinosaurs.csv
Dracovenator,dracovenator,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Coelophysis,coelophysis,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Massospondylus,massospondylus,Chordata,Reptilia,Saurischia,Massospondylidae,dinosaurs.csv
Massospondylus,massospondylus,Chordata,Reptilia,Saurischia,Massospondylidae,dinosaurs.csv
Massospondylus,massospondylus,Chordata,Reptilia,Saurischia,Massospondylidae,dinosaurs.csv
Massospondylus,massospondylus,Chordata,Reptilia,Saurischia,Massospondylidae,dinosaurs.csv
Massospondylus,massospondylus,Chordata,Reptilia,Saurischia,Massospondylidae,dinosaurs.csv
Massospondylus,massospondylus,Chordata,Reptilia,Saurischia,Massospondylidae,dinosaurs.csv
Massospondylus,massospondylus,Chordata,Reptilia,Saurischia,Massospondylidae,dinosaurs.csv
Massospondylus,massospondylus,Chordata,Reptilia,Saurischia,Massospondylidae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Troodon,troodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Dromaeosaurus,dromaeosaurus,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Ornithomimus,ornithomimus,Chordata,Reptilia,Saurischia,Ornithomimidae,dinosaurs.csv
Chirostenotes,chirostenotes,Chordata,Reptilia,Saurischia,Caenagnathidae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Alamosaurus,alamosaurus,Chordata,Reptilia,Saurischia,Saltasauridae,dinosaurs.csv
Alamosaurus,alamosaurus,Chordata,Reptilia,Saurischia,Saltasauridae,dinosaurs.csv
Alamosaurus,alamosaurus,Chordata,Reptilia,Saurischia,Saltasauridae,dinosaurs.csv
Ornithomimus,ornithomimus,Chordata,Reptilia,Saurischia,Ornithomimidae,dinosaurs.csv
Ornithomimipus,ornithomimipus,Chordata,Reptilia,Saurischia,Ornithomimipodidae,dinosaurs.csv
Troodon,troodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Chirostenotes,chirostenotes,Chordata,Reptilia,Saurischia,Caenagnathidae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Troodon,troodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Dromaeosaurus,dromaeosaurus,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Pectinodon,pectinodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Zapsalis,zapsalis,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Pectinodon,pectinodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Tyrannosaurus,tyrannosaurus,Chordata,Reptilia,Saurischia,Tyrannosauridae,dinosaurs.csv
Proceratosaurus,proceratosaurus,Chordata,Reptilia,Saurischia,Proceratosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Troodon,troodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Troodon,troodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Dromaeosaurus,dromaeosaurus,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Troodon,troodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Dromaeosaurus,dromaeosaurus,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Troodon,troodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Saurornitholestes,saurornitholestes,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Atlasaurus,atlasaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Rebbachisaurus,rebbachisaurus,Chordata,Reptilia,Saurischia,Rebbachisauridae,dinosaurs.csv
Cetiosaurus,cetiosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Cetiosaurus,cetiosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Cetiosaurus,cetiosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Cetiosaurus,cetiosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Cetiosaurus,cetiosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Cetiosaurus,cetiosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Diplodocus,diplodocus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Supersaurus,supersaurus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Torvosaurus,torvosaurus,Chordata,Reptilia,Saurischia,Megalosauridae,dinosaurs.csv
Genyodectes,genyodectes,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Comahuesaurus,comahuesaurus,Chordata,Reptilia,Saurischia,Rebbachisauridae,dinosaurs.csv
Ornithomimus,ornithomimus,Chordata,Reptilia,Saurischia,Ornithomimidae,dinosaurs.csv
Sarahsaurus,sarahsaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Ornithomimus,ornithomimus,Chordata,Reptilia,Saurischia,Ornithomimidae,dinosaurs.csv
Ornithomimus,ornithomimus,Chordata,Reptilia,Saurischia,Ornithomimidae,dinosaurs.csv
Richardoestesia,richardoestesia,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Barosaurus,barosaurus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Camarasaurus,camarasaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Diplodocus,diplodocus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Brachiosaurus,brachiosaurus,Chordata,Reptilia,Saurischia,Brachiosauridae,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Apatosaurus,apatosaurus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Camarasaurus,camarasaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Kaatedocus,kaatedocus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Allosaurus,allosaurus,Chordata,Reptilia,Saurischia,Allosauridae,dinosaurs.csv
Diplodocus,diplodocus,Chordata,Reptilia,Saurischia,Diplodocidae,dinosaurs.csv
Condorraptor,condorraptor,Chordata,Reptilia,Saurischia,Piatnitzkysauridae,dinosaurs.csv
Patagosaurus,patagosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Deinonychus,deinonychus,Chordata,Reptilia,Saurischia,Dromaeosauridae,dinosaurs.csv
Acrocanthosaurus,acrocanthosaurus,Chordata,Reptilia,Saurischia,Carcharodontosauridae,dinosaurs.csv
Troodon,troodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Paronychodon,paronychodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Neovenator,neovenator,Chordata,Reptilia,Saurischia,Neovenatoridae,dinosaurs.csv
Monolophosaurus,monolophosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Alxasaurus,alxasaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Jingshanosaurus,jingshanosaurus,Chordata,Reptilia,Saurischia,,dinosaurs.csv
Sinornithoides,sinornithoides,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Troodon,troodon,Chordata,Reptilia,Saurischia,Troodontidae,dinosaurs.csv
Leptorhynchos,leptorhynchos,Chordata,Reptilia,Saurischia,Caenagnathidae,dinosaurs.csv
