nome,rango,genere,famiglia,ordine,classe,phylum,origine_dataset,fonte_riempimento_tassonomia
Isisaurus colberti,species,Isisaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Amygdalodon patagonicus,species,Amygdalodon,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Lewisuchus admixtus,species,Lewisuchus,Silesauridae,,Ornithischia,Chordata,0,
Scutellosaurus lawleri,species,Scutellosaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Goyocephale lattimorei,species,Goyocephale,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Efraasia minor,species,Efraasia,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Ichthyornis dispar,species,Ichthyornis,,Ichthyornithes,Reptilia,Chordata,0,
Megaloolithus siruguei,species,Megaloolithus,Megaloolithidae,,Saurischia,Chordata,0,
Owenodon,genus,Owenodon,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Hispanosauropus hauboldi,species,Hispanosauropus,,,Reptilia,Chordata,0,
Macroolithus rugustus,species,Macroolithus,Elongatoolithidae,,Reptilia,Chordata,0,
Paraspheroolithus irenensis,species,Paraspheroolithus,Spheroolithidae,,Ornithischia,Chordata,0,
Patagopteryx deferrariisi,species,Patagopteryx,,,Reptilia,Chordata,0,
Neuquenornis volans,species,Neuquenornis,Avisauridae,,Reptilia,Chordata,0,
Graciliceratops mongoliensis,species,Graciliceratops,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Gobipteryx minuta,species,Gobipteryx,,,Reptilia,Chordata,0,
Dendroolithus,genus,Dendroolithus,Phaceloolithidae,,Reptilia,Chordata,0,
Eolambia caroljonesa,species,Eolambia,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Megaloolithus jabalpurensis,species,Megaloolithus,Megaloolithidae,,Saurischia,Chordata,0,
Iguanodon bernissartensis,species,Iguanodon,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Kotasaurus yamanpalliensis,species,Kotasaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Camptosaurus,genus,Camptosaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Liliensternus,genus,Liliensternus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Potamornis skutchi,species,Potamornis,,Hesperornithiformes,Reptilia,Chordata,0,
Sauroposeidon proteles,species,Sauroposeidon,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Macroolithus yaotunensis,species,Macroolithus,Elongatoolithidae,,Reptilia,Chordata,0,
Ovaloolithus chinkangkouensis,species,Ovaloolithus,Ovaloolithidae,,Ornithischia,Chordata,0,
Elongatoolithus andrewsi,species,Elongatoolithus,Elongatoolithidae,,Reptilia,Chordata,0,
Dryptosaurus,genus,Dryptosaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Coelurosaurichnus perriauxi,species,Coelurosaurichnus,,,Saurischia,Chordata,0,
Eoraptor lunensis,species,Eoraptor,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Protohadros byrdi,species,Protohadros,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Iguanodon,genus,Iguanodon,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Haestasaurus becklesii,species,Haestasaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Wannanosaurus yansiensis,species,Wannanosaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Vorona berivotrensis,species,Vorona,,,Reptilia,Chordata,0,
Sinosaurus triassicus,species,Sinosaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Yunnanosaurus,genus,Yunnanosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Bahariasaurus ingens,species,Bahariasaurus,,Avetheropoda,Reptilia,Chordata,0,
Aegyptosaurus baharijensis,species,Aegyptosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Spinostropheus gautieri,species,Spinostropheus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Ouranosaurus nigeriensis,species,Ouranosaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Jainosaurus septentrionalis,species,Jainosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Pisanosaurus mertii,species,Pisanosaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Cumnoria prestwichii,species,Cumnoria,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Duriatitan humerocristatus,species,Duriatitan,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Ornithopsis hulkei,species,Ornithopsis,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Eosauropus,genus,Eosauropus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Pantydraco caducus,species,Pantydraco,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Moabosaurus utahensis,species,Moabosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Epidendrosaurus ningchengensis,species,Epidendrosaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Fuscinapedis woodbinensis,species,Fuscinapedis,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Caririchnium,genus,Caririchnium,Iguanodontipodidae,,Ornithischia,Chordata,0,
Iberomesornis romerali,species,Iberomesornis,,,Reptilia,Chordata,0,
Coelurosaurichnus sabinensis,species,Coelurosaurichnus,,,Saurischia,Chordata,0,
Dendroolithus wangdianensis,species,Dendroolithus,Phaceloolithidae,,Reptilia,Chordata,0,
Shunosaurus lii,species,Shunosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Anomoepus,genus,Anomoepus,Moyenisauropodidae,,Ornithischia,Chordata,0,
Dystrophaeus viaemalae,species,Dystrophaeus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Claosaurus agilis,species,Claosaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Coelurus,genus,Coelurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Volkheimeria chubutensis,species,Volkheimeria,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Lurdusaurus arenatus,species,Lurdusaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Lesothosaurus diagnosticus,species,Lesothosaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Wintonopus latomorum,species,Wintonopus,,,Ornithischia,Chordata,0,
Amblydactylus,genus,Amblydactylus,Iguanodontipodidae,,Ornithischia,Chordata,0,
Lirainosaurus astibiae,species,Lirainosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Enantiornis leali,species,Enantiornis,,,Reptilia,Chordata,0,
Sarcosaurus woodi,species,Sarcosaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Megalosauropus,genus,Megalosauropus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Albalophosaurus yamaguchiorum,species,Albalophosaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Traukutitan eocaudata,species,Traukutitan,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Aeolosaurus,genus,Aeolosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Zupaysaurus rougieri,species,Zupaysaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Coelurosaurichnus ziegelangernensis,species,Coelurosaurichnus,,,Saurischia,Chordata,0,
Coelurosaurichnus,genus,Coelurosaurichnus,,,Saurischia,Chordata,0,
Coelurosaurichnus kronbergeri,species,Coelurosaurichnus,,,Saurischia,Chordata,0,
Perijasaurus lapaz,species,Perijasaurus,,,Saurischia,Chordata,0,
Megalosauropus broomensis,species,Megalosauropus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Syntarsus kayentakatae,species,Syntarsus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Austrosaurus mckillopi,species,Austrosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Mendozasaurus neguyelap,species,Mendozasaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Appalachiosaurus montgomeriensis,species,Appalachiosaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Blikanasaurus cromptoni,species,Blikanasaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Thecodontosaurus,genus,Thecodontosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Ovaloolithus,genus,Ovaloolithus,Ovaloolithidae,,Ornithischia,Chordata,0,
Megaloolithus aureliensis,species,Megaloolithus,Megaloolithidae,,Saurischia,Chordata,0,
Kinnareemimus khonkaenensis,species,Kinnareemimus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Coelurosaurichnus palissyi,species,Coelurosaurichnus,,,Saurischia,Chordata,0,
Calorckosauripus lazari,species,Calorckosauripus,,,Saurischia,Chordata,0,
Ligabueichnium bolivianum,species,Ligabueichnium,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Kayentapus,genus,Kayentapus,,,Reptilia,Chordata,0,
Aragosaurus ischiaticus,species,Aragosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Ornithopsis,genus,Ornithopsis,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Fusioolithus baghensis,species,Fusioolithus,Fusioolithidae,,Reptilia,Chordata,0,
Ferganocephale adenticulatum,species,Ferganocephale,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Gettyia gloriae,species,Gettyia,Avisauridae,,Reptilia,Chordata,0,
Fukuisaurus tetoriensis,species,Fukuisaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Chubutisaurus insignis,species,Chubutisaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Timimus hermani,species,Timimus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Serendipaceratops arthurcclarkei,species,Serendipaceratops,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Leaellynasaura amicagraphica,species,Leaellynasaura,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Atlascopcosaurus loadsi,species,Atlascopcosaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Fulgurotherium australe,species,Fulgurotherium,,,Ornithischia,Chordata,0,
Hexinlusaurus multidens,species,Hexinlusaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Agilisaurus louderbacki,species,Agilisaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Gasosaurus constructus,species,Gasosaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Datousaurus bashanensis,species,Datousaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Ceratosaurus,genus,Ceratosaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Aviatyrannis jurassica,species,Aviatyrannis,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Ouranosaurus,genus,Ouranosaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Malawisaurus dixeyi,species,Malawisaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Epachthosaurus sciuttoi,species,Epachthosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Rapetosaurus krausei,species,Rapetosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Rhoetosaurus brownei,species,Rhoetosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Camptosaurus dispar,species,Camptosaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Osmakasaurus depressus,species,Osmakasaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Coelurus fragilis,species,Coelurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Ceratosaurus nasicornis,species,Ceratosaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Nanosaurus agilis,species,Nanosaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Losillasaurus giganteus,species,Losillasaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Sibirotitan astrosacralis,species,Sibirotitan,,,Saurischia,Chordata,0,
Ancistrodon,genus,Ancistrodon,,,Reptilia,Chordata,0,
Taoperdix,genus,Taoperdix,,Galliformes,Reptilia,Chordata,0,
Hadrosauropodus,genus,Hadrosauropodus,Iguanodontipodidae,,Ornithischia,Chordata,0,
Martinavis vincei,species,Martinavis,,,Reptilia,Chordata,0,
Hadrosaurichnus,genus,Hadrosaurichnus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Salfitichnus mentoor,species,Salfitichnus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Avisaurus archibaldi,species,Avisaurus,Avisauridae,,Reptilia,Chordata,0,
Gongpoquansaurus mazongshanensis,species,Gongpoquansaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Archaeoceratops oshimai,species,Archaeoceratops,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Apsaravis ukhaana,species,Apsaravis,,,Reptilia,Chordata,0,
Bonitasaura salgadoi,species,Bonitasaura,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Andesaurus delgadoi,species,Andesaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Equijubus normani,species,Equijubus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Dracovenator regenti,species,Dracovenator,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Atlasaurus imelakei,species,Atlasaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Genyodectes serus,species,Genyodectes,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Notoceratops bonarelli,species,Notoceratops,,,Ornithischia,Chordata,0,
Tetrapodosaurus borealis,species,Tetrapodosaurus,Tetrapodosauridae,,Ornithischia,Chordata,0,
Nanosaurus,genus,Nanosaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Dakotasaurus browni,species,Dakotasaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Monolophosaurus jiangi,species,Monolophosaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Alxasaurus elesitaiensis,species,Alxasaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Jingshanosaurus xinwaensis,species,Jingshanosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Elongatoolithus,genus,Elongatoolithus,Elongatoolithidae,,Reptilia,Chordata,0,
Kunbarrasaurus ieversi,species,Kunbarrasaurus,,,Ornithischia,Chordata,0,
Muttaburrasaurus,genus,Muttaburrasaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Cryolophosaurus ellioti,species,Cryolophosaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Paralititan stromeri,species,Paralititan,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Janenschia robusta,species,Janenschia,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Yaverlandia bitholus,species,Yaverlandia,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Sarcolestes leedsi,species,Sarcolestes,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Dracopelta zbyszewskii,species,Dracopelta,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Gresslyosaurus ingens,species,Gresslyosaurus,,,Saurischia,Chordata,0,
Continuoolithus canadensis,species,Continuoolithus,Elongatoolithidae,,Reptilia,Chordata,0,
Megaloolithus mamillare,species,Megaloolithus,Megaloolithidae,,Saurischia,Chordata,0,
Preprismatoolithus coloradensis,species,Preprismatoolithus,Prismatoolithidae,,Ornithischia,Chordata,0,
Tendaguria tanzaniensis,species,Tendaguria,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Syntarsus,genus,Syntarsus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Dryptosaurus aquilunguis,species,Dryptosaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Gresslyosaurus plieningeri,species,Gresslyosaurus,,,Saurischia,Chordata,0,
Camelotia borealis,species,Camelotia,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Juratyrant langhami,species,Juratyrant,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Liliensternus liliensterni,species,Liliensternus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Ampelosaurus atacis,species,Ampelosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Gargantuavis philoinos,species,Gargantuavis,Gargantuaviidae,,Reptilia,Chordata,0,
Obelignathus septimanicus,species,Obelignathus,,,Ornithischia,Chordata,0,
Isanosaurus attavipachi,species,Isanosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Prismatoolithus,genus,Prismatoolithus,Prismatoolithidae,,Ornithischia,Chordata,0,
Megaloolithus,genus,Megaloolithus,Megaloolithidae,,Saurischia,Chordata,0,
Fenestrosaurus philoceratops,species,Fenestrosaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Mongolosaurus haplodon,species,Mongolosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Ovoraptor djadochtari,species,Ovoraptor,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Ornithoides oshiensis,species,Ornithoides,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Tugulusaurus faciles,species,Tugulusaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Xinjiangovenator parvus,species,Xinjiangovenator,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Anabisetia saldiviai,species,Anabisetia,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Lourinhanosaurus antunesi,species,Lourinhanosaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Draconyx loureiroi,species,Draconyx,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Streptospondylus altdorfensis,species,Streptospondylus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Alectrosaurus olseni,species,Alectrosaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Dakotadon lakotaensis,species,Dakotadon,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Sauropodichnus giganteus,species,Sauropodichnus,,,Reptilia,Chordata,0,
Abelichnus astigarrae,species,Abelichnus,,Avetheropoda,Reptilia,Chordata,0,
Futalognkosaurus dukei,species,Futalognkosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Gojirasaurus quayi,species,Gojirasaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Stokesosaurus,genus,Stokesosaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Lophostropheus airelensis,species,Lophostropheus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Stokesosaurus clevelandi,species,Stokesosaurus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Chinshakiangosaurus chunghoensis,species,Chinshakiangosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Falcarius utahensis,species,Falcarius,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Iberomesornis,genus,Iberomesornis,,,Reptilia,Chordata,0,
Eoalulavis hoyasi,species,Eoalulavis,,,Reptilia,Chordata,0,
Saurexallopus lovei,species,Saurexallopus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Ohmdenosaurus liasicus,species,Ohmdenosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Karongasaurus gittelmani,species,Karongasaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Narindasaurus thevenini,species,Narindasaurus,,,Saurischia,Chordata,0,
Craspedodon lonzeensis,species,Craspedodon,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Lectavis bretincola,species,Lectavis,,,Reptilia,Chordata,0,
Soroavisaurus australis,species,Soroavisaurus,Avisauridae,,Reptilia,Chordata,0,
Yungavolucris brevipedalis,species,Yungavolucris,,,Reptilia,Chordata,0,
Antarctosaurus,genus,Antarctosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Pellegrinisaurus powelli,species,Pellegrinisaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Antarctosaurus wichmannianus,species,Antarctosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Bonitasaura,genus,Bonitasaura,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Argyrosaurus superbus,species,Argyrosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Elaltitan lilloi,species,Elaltitan,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Nullotitan glaciaris,species,Nullotitan,,,Saurischia,Chordata,0,
Adamantisaurus mezzalirai,species,Adamantisaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Burianosaurus augustai,species,Burianosaurus,,,Ornithischia,Chordata,0,
Kayentavenator elysiae,species,Kayentavenator,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Lapparentosaurus madagascariensis,species,Lapparentosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Tehuelchesaurus benitezii,species,Tehuelchesaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Choconsaurus baileywillisi,species,Choconsaurus,,,Saurischia,Chordata,0,
Gondwanatitan faustoi,species,Gondwanatitan,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Qantassaurus intrepidus,species,Qantassaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Thecodontosaurus antiquus,species,Thecodontosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Gongxianosaurus shibeiensis,species,Gongxianosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Argentinosaurus huinculensis,species,Argentinosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Aegyptosaurus,genus,Aegyptosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Zuniceratops christopheri,species,Zuniceratops,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Hadrosauropodus leonardii,species,Hadrosauropodus,Iguanodontipodidae,,Ornithischia,Chordata,0,
Claosaurus,genus,Claosaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Brontopodus birdi,species,Brontopodus,,,Saurischia,Chordata,0,
Owenodon hoggii,species,Owenodon,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Hypselospinus fittoni,species,Hypselospinus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Nedcolbertia justinhoffmanni,species,Nedcolbertia,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Suskityrannus hazelae,species,Suskityrannus,,,Reptilia,Chordata,0,
Jeyawati rugoculus,species,Jeyawati,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Tetrapodosaurus,genus,Tetrapodosaurus,Tetrapodosauridae,,Ornithischia,Chordata,0,
Irenesauripus mclearni,species,Irenesauripus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Gasparinisaura cincosaltensis,species,Gasparinisaura,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Krzyzanowskisaurus hunti,species,Krzyzanowskisaurus,,,Ornithischia,Chordata,0,
Megalosauropus titanopelobatidus,species,Megalosauropus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Amanzia greppini,species,Amanzia,,,Saurischia,Chordata,0,
Becklespinax altispinax,species,Becklespinax,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Oplosaurus armatus,species,Oplosaurus,,,Saurischia,Chordata,0,
Irenesauripus,genus,Irenesauripus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Irenesauripus acutus,species,Irenesauripus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Amblydactylus kortmeyeri,species,Amblydactylus,Iguanodontipodidae,,Ornithischia,Chordata,0,
Kayentapus xiaohebaensis,species,Kayentapus,,,Reptilia,Chordata,0,
Shensipus tungchuanensis,species,Anomoepus,Moyenisauropodidae,,Ornithischia,Chordata,0,
Jialingpus yuechiensis,species,Jialingpus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Xiangxipus chenxiensis,species,Xiangxipus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Xiangxipus youngi,species,Xiangxipus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Hunanpus jiuquwanensis,species,Hunanpus,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Dinosauropodes bransfordii,species,Dinosauropodes,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Dinosauropodes magrawii,species,Dinosauropodes,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Dinosauropodes osborni,species,Dinosauropodes,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Gypsichnites pacensis,species,Gypsichnites,,,Reptilia,Chordata,0,
Shixingoolithus erbeni,species,Shixingoolithus,Stalicoolithidae,,Reptilia,Chordata,0,
Aeolosaurus colhuehuapensis,species,Aeolosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Sektensaurus sanjuanboscoi,species,Sektensaurus,,,Ornithischia,Chordata,0,
Prismatoolithus hukouensis,species,Prismatoolithus,Prismatoolithidae,,Ornithischia,Chordata,0,
Prismatoolithus gebiensis,species,Prismatoolithus,Prismatoolithidae,,Ornithischia,Chordata,0,
Macroelongatoolithus carlylei,species,Macroelongatoolithus,Elongatoolithidae,,Reptilia,Chordata,0,
Talenkauen santacrucensis,species,Talenkauen,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Faveoloolithus,genus,Faveoloolithus,Faveoloolithidae,,Saurischia,Chordata,0,
Coralloidoolithus,genus,Coralloidoolithus,Stalicoolithidae,,Reptilia,Chordata,0,
Anomoepus crassus,species,Anomoepus,Moyenisauropodidae,,Ornithischia,Chordata,0,
Kayentapus minor,species,Kayentapus,,,Reptilia,Chordata,0,
Anomoepus scambus,species,Anomoepus,Moyenisauropodidae,,Ornithischia,Chordata,0,
Spheroolithus albertensis,species,Spheroolithus,Spheroolithidae,,Ornithischia,Chordata,0,
Anticheiropus pilulatus,species,Anticheiropus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Lagunculapes latus,species,Lagunculapes,,,Reptilia,Chordata,0,
Platypterna deanii,species,Platypterna,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Platypterna concamerata,species,Platypterna,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Platypterna digitigrada,species,Platypterna,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Trihamus elegans,species,Trihamus,,,Saurischia,Chordata,0,
