nome,rango,genere,famiglia,ordine,classe,phylum,origine_dataset,fonte_riempimento_tassonomia
Taeniopteris spatulata,species,Taeniopteris,,Cycadales,Cycadopsida,Cycadophyta,1,
Elatocladus conferta,species,Elatocladus,Podocarpaceae,Coniferales,,Gymnospermae,1,
Solenopora jurassica,species,Solenopora,Solenoporaceae,,Rhodophyceae,Rhodophyta,1,
Acicularia,genus,Acicularia,,Dasycladales,Chlorophyceae,Chlorophyta,1,
Solenopora,genus,Solenopora,Solenoporaceae,,Rhodophyceae,Rhodophyta,1,
Muscites,genus,Muscites,,,Bryopsida,Bryophyta,1,
Heidiphyllum,genus,Heidiphyllum,,Pinales,Pinopsida,Spermatophyta,1,
Rissikia,genus,Rissikia,Podocarpaceae,Coniferales,,Gymnospermae,1,
Kurtziana,genus,Kurtziana,,,,Pteridospermophyta,1,
Chiropteris,genus,Chiropteris,,Pteridospermales,Cycadopsida,Cycadophyta,1,
Gontriglossa,genus,Gontriglossa,,,Gnetopsida,Gnetophyta,1,
Anthrophyopsis,genus,Anthrophyopsis,,Cycadales,Cycadopsida,Cycadophyta,1,
Yabeiella,genus,Yabeiella,,Cycadeoideales,Cycadeoideopsida,Cycadeoideophyta,1,
Thallites,genus,Thallites,,,Hepaticae,Bryophyta,1,
Weltrichia,genus,Weltrichia,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Fraxinopsis,genus,Fraxinopsis,,Coniferales,,Gymnospermae,1,
Saportaea,genus,Saportaea,,Polypodiales,Polypodiopsida,Pteridophyta,1,
Linguifolium,genus,Linguifolium,,,Ginkgoopsida,Ginkgophyta,1,
Leguminanthus,genus,Leguminanthus,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Cycadolepis,genus,Cycadolepis,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Pagiophyllum,genus,Pagiophyllum,Araucariaceae,,Equisetopsida,Equisetophyta,1,
Cycadocarpidium,genus,Cycadocarpidium,,,,Coniferophyta,1,
Amphorispermum ellipticum,species,Amphorispermum,,Caytoniales,Ginkgoopsida,Ginkgophyta,1,
Pterophyllum (Anomozamites) schenki,species,Anomozamites,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Doratophyllum astartensis,species,Doratophyllum,,,,Cycadophyta,1,
Pterophyllum,genus,Pterophyllum,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Furcula granulifer,species,Furcula,,,Dicotyledoneae,Angiospermae,1,
Pterophyllum xiphipterum,species,Pterophyllum,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
