occurrence_no,collection_no,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma,lat,lng,cc,state,formation,geological_group,phylum,class,order,family,genus,mid_ma,period_group,has_valid_coords,dataset_type,continente,order_raggruppato,categoria,possibile_aviano_residuo
1606026,58786,Theropoda,unranked clade,Berriasian,Hauterivian,143.1,125.77,-6.756111,-38.34861,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,,,,134.435,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
1606027,187920,Eubrontidae,family,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,Saurischia,Eubrontidae,,134.435,Cretaceo,True,Dinosauria,Sud America,Saurischia,Erbivoro/Incertezza,False
1606028,187920,Columbosauripus,genus,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,Saurischia,Ornithomimipodidae,Columbosauripus,134.435,Cretaceo,True,Dinosauria,Sud America,Saurischia,Erbivoro/Incertezza,False
1606029,187920,Megalosauripus,genus,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,Saurischia,Eubrontidae,Megalosauripus,134.435,Cretaceo,True,Dinosauria,Sud America,Saurischia,Erbivoro/Incertezza,False
1606030,187920,Stegopodus,genus,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Ornithischia,Ornithischia,,Stegopodus,134.435,Cretaceo,True,Dinosauria,Sud America,Ornithischia,Erbivoro,False
1606031,187920,Dinosauria,unranked clade,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,,,,134.435,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
1606034,187920,Eubrontes minusculus,species,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,Saurischia,Grallatoridae,Eubrontes,134.435,Cretaceo,True,Dinosauria,Sud America,Saurischia,Erbivoro/Incertezza,False
1606035,187920,Grallator olonensis,species,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,Saurischia,Grallatoridae,Grallator,134.435,Cretaceo,True,Dinosauria,Sud America,Saurischia,Erbivoro/Incertezza,False
1606036,187920,Grallator,genus,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,Saurischia,Grallatoridae,Grallator,134.435,Cretaceo,True,Dinosauria,Sud America,Saurischia,Erbivoro/Incertezza,False
1606037,187915,Abelisauroidea,superfamily,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,,,,134.435,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
1606038,187909,Eubrontidae,family,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,Saurischia,Eubrontidae,,134.435,Cretaceo,True,Dinosauria,Sud America,Saurischia,Erbivoro/Incertezza,False
1606039,187915,Columbosauripus,genus,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,Saurischia,Ornithomimipodidae,Columbosauripus,134.435,Cretaceo,True,Dinosauria,Sud America,Saurischia,Erbivoro/Incertezza,False
1606040,187915,Moraesichnium barberenae,species,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,Saurischia,,Moraesichnium,134.435,Cretaceo,True,Dinosauria,Sud America,Saurischia,Erbivoro/Incertezza,False
1606041,187915,Megalosauripus,genus,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,Saurischia,Eubrontidae,Megalosauripus,134.435,Cretaceo,True,Dinosauria,Sud America,Saurischia,Erbivoro/Incertezza,False
1606042,187915,Sauropoda,unranked clade,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Saurischia,,,,134.435,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
1606043,187909,Iguanodontipodidae,family,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Ornithischia,,Iguanodontipodidae,,134.435,Cretaceo,True,Dinosauria,Sud America,,Erbivoro,False
1606050,187906,Ornithopoda,suborder,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Ornithischia,,,,134.435,Cretaceo,True,Dinosauria,Sud America,,Erbivoro,False
1606051,187908,Theropoda,unranked clade,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,,,,134.435,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
1606052,187914,Theropoda,unranked clade,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,,,,134.435,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
1606053,187922,Dinosauria,unranked clade,Berriasian,Hauterivian,143.1,125.77,-6.733333,-38.316666,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,,,,134.435,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
1606114,62411,Dinosauria,unranked clade,Hauterivian,,132.6,125.77,42.141109,-2.285,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,129.185,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606115,61888,Ornithopoda,suborder,Hauterivian,Aptian,132.6,113.2,42.140835,-2.2475,ES,La Rioja,,Enciso,Chordata,Ornithischia,,,,122.9,Cretaceo,True,Dinosauria,Europa,,Erbivoro,False
1606116,68450,Theropoda,unranked clade,Aptian,,121.4,113.2,42.129532,-2.18366,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606117,59100,Ornithopoda,suborder,Aptian,,121.4,113.2,42.189167,-2.2975,ES,La Rioja,,Enciso,Chordata,Ornithischia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Erbivoro,False
1606118,227093,Theropoda,unranked clade,Aptian,,121.4,113.2,42.203056,-2.299444,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606119,227094,Ornithopoda,suborder,Aptian,,121.4,113.2,42.203888,-2.296111,ES,La Rioja,,Enciso,Chordata,Ornithischia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Erbivoro,False
1606120,85181,Dinosauria,unranked clade,Late Barremian,Early Aptian,125.77,119.57,42.083481,-2.08487,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,122.66999999999999,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606121,85183,Dinosauria,unranked clade,Late Barremian,Early Aptian,125.77,119.57,42.0825,-2.090556,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,122.66999999999999,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606122,68448,Dinosauria,unranked clade,Aptian,,121.4,113.2,42.083481,-2.08487,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606124,85180,Dinosauria,unranked clade,Late Barremian,Early Aptian,125.77,119.57,42.083481,-2.08487,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,122.66999999999999,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606125,227095,Theropoda,unranked clade,Late Barremian,Early Aptian,125.77,119.57,42.080833,-2.078611,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,122.66999999999999,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606126,227096,Theropoda,unranked clade,Late Barremian,Early Aptian,125.77,119.57,42.080833,-2.078611,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,122.66999999999999,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606127,227097,Ornithopoda,suborder,Aptian,,121.4,113.2,42.148609,-2.266111,ES,La Rioja,,Enciso,Chordata,Ornithischia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Erbivoro,False
1606128,227097,Theropoda,unranked clade,Aptian,,121.4,113.2,42.148609,-2.266111,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606130,227099,Ornithopoda,suborder,Aptian,,121.4,113.2,42.197224,-2.289167,ES,La Rioja,,Enciso,Chordata,Ornithischia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Erbivoro,False
1606131,227099,Theropoda,unranked clade,Aptian,,121.4,113.2,42.197224,-2.289167,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606132,227100,Theropoda,unranked clade,Aptian,,121.4,113.2,42.2015,-2.28049,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606133,227100,Megalosaurus,genus,Aptian,,121.4,113.2,42.2015,-2.28049,ES,La Rioja,,Enciso,Chordata,Reptilia,Saurischia,Megalosauridae,Megalosaurus,117.30000000000001,Cretaceo,True,Dinosauria,Europa,Saurischia,Carnivoro,False
1606134,227101,Megalosaurus,genus,Aptian,,121.4,113.2,42.197224,-2.289167,ES,La Rioja,,Enciso,Chordata,Reptilia,Saurischia,Megalosauridae,Megalosaurus,117.30000000000001,Cretaceo,True,Dinosauria,Europa,Saurischia,Carnivoro,False
1606135,227102,Megalosaurus,genus,Aptian,,121.4,113.2,42.197224,-2.289167,ES,La Rioja,,Enciso,Chordata,Reptilia,Saurischia,Megalosauridae,Megalosaurus,117.30000000000001,Cretaceo,True,Dinosauria,Europa,Saurischia,Carnivoro,False
1606146,173547,Theropoda,unranked clade,Aptian,,121.4,113.2,42.200832,-2.295,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606147,173547,Iguanodon,genus,Aptian,,121.4,113.2,42.200832,-2.295,ES,La Rioja,,Enciso,Chordata,Ornithischia,Ornithischia,,Iguanodon,117.30000000000001,Cretaceo,True,Dinosauria,Europa,Ornithischia,Erbivoro,False
1606148,173547,Dinosauria,unranked clade,Aptian,,121.4,113.2,42.200832,-2.295,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606149,227103,Theropoda,unranked clade,Aptian,,121.4,113.2,42.203335,-2.299722,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606150,227103,Theropoda,unranked clade,Aptian,,121.4,113.2,42.203335,-2.299722,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606151,227103,Theropoda,unranked clade,Aptian,,121.4,113.2,42.203335,-2.299722,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606152,227103,Dinosauria,unranked clade,Aptian,,121.4,113.2,42.203335,-2.299722,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606153,227104,Ornithopoda,suborder,Aptian,,121.4,113.2,42.227009,-2.47736,ES,La Rioja,,Enciso,Chordata,Ornithischia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Erbivoro,False
1606154,227105,Iguanodon,genus,Aptian,,121.4,113.2,42.227009,-2.47736,ES,La Rioja,,Enciso,Chordata,Ornithischia,Ornithischia,,Iguanodon,117.30000000000001,Cretaceo,True,Dinosauria,Europa,Ornithischia,Erbivoro,False
1606155,227105,Theropoda,unranked clade,Aptian,,121.4,113.2,42.227009,-2.47736,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606156,227105,Ornithopoda,suborder,Aptian,,121.4,113.2,42.227009,-2.47736,ES,La Rioja,,Enciso,Chordata,Ornithischia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Erbivoro,False
1606157,227105,Dinosauria,unranked clade,Aptian,,121.4,113.2,42.227009,-2.47736,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606158,173549,Dinosauria,unranked clade,Aptian,,121.4,113.2,42.203335,-2.298889,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606159,173547,Dinosauria,unranked clade,Aptian,,121.4,113.2,42.200832,-2.295,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606160,227106,Dinosauria,unranked clade,Aptian,,121.4,113.2,42.203888,-2.298889,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606161,227107,Dinosauria,unranked clade,Aptian,,121.4,113.2,42.203888,-2.298889,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606162,227108,Ornithopoda,suborder,Aptian,,121.4,113.2,42.203888,-2.298889,ES,La Rioja,,Enciso,Chordata,Ornithischia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Erbivoro,False
1606163,227109,Theropoda,unranked clade,Aptian,,121.4,113.2,42.203335,-2.295833,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606164,227098,Theropoda,unranked clade,Aptian,,121.4,113.2,42.200279,-2.294722,ES,La Rioja,,Enciso,Chordata,Reptilia,,,,117.30000000000001,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606200,219660,Dinosauria,unranked clade,Tithonian,Berriasian,149.2,137.05,42.115002,-3.487,ES,Castilla y Leon,Rupelo,Oncala,Chordata,Reptilia,,,,143.125,Giurassico,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606201,227113,Dacentrurus armatus,species,Late Kimmeridgian,Tithonian,152.21,143.1,40.116699,-1.15,ES,Teruel,Villar del Arzobispo,,Chordata,Ornithischia,Ornithischia,Stegosauridae,Dacentrurus,147.655,Giurassico,True,Dinosauria,Europa,Ornithischia,Erbivoro,False
1606202,227114,Stegosauridae,family,Kimmeridgian,Tithonian,154.8,143.1,39.89801,-1.016306,ES,Valencia,Villar del Arzobispo,,Chordata,Ornithischia,Ornithischia,Stegosauridae,,148.95,Giurassico,True,Dinosauria,Europa,Ornithischia,Erbivoro,False
1606203,59089,Ornithopoda,suborder,Late Kimmeridgian,Tithonian,152.21,143.1,39.933334,-1.0,ES,Valencia,Villar del Arzobispo,,Chordata,Ornithischia,,,,147.655,Giurassico,True,Dinosauria,Europa,,Erbivoro,False
1606204,227115,Dacentrurinae,subfamily,Late Kimmeridgian,Tithonian,152.21,143.1,39.887402,-1.0388,ES,Valencia,Villar del Arzobispo,,Chordata,Ornithischia,Ornithischia,Stegosauridae,,147.655,Giurassico,True,Dinosauria,Europa,Ornithischia,Erbivoro,False
1606205,137615,Dacentrurinae,subfamily,Late Kimmeridgian,Tithonian,152.21,143.1,39.8624,-0.9721,ES,Valencia,Villar del Arzobispo,,Chordata,Ornithischia,Ornithischia,Stegosauridae,,147.655,Giurassico,True,Dinosauria,Europa,Ornithischia,Erbivoro,False
1606209,91396,Turiasaurus riodevensis,species,Kimmeridgian,Tithonian,154.8,143.1,40.116699,-1.15,ES,Teruel,Villar del Arzobispo,,Chordata,Saurischia,Saurischia,,Turiasaurus,148.95,Giurassico,True,Dinosauria,Europa,Saurischia,Erbivoro/Incertezza,False
1606288,58787,Dinosauria,unranked clade,Berriasian,Hauterivian,143.1,125.77,-6.748889,-38.349167,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,,,,134.435,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
1606289,56463,Dinosauria,unranked clade,Berriasian,Hauterivian,143.1,125.77,-6.733611,-38.260834,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,,,,134.435,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
1606290,56463,Ornithischia,unranked clade,Berriasian,Hauterivian,143.1,125.77,-6.733611,-38.260834,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Ornithischia,,,,134.435,Cretaceo,True,Dinosauria,Sud America,,Erbivoro,False
1606291,56463,Ornithopoda,suborder,Berriasian,Hauterivian,143.1,125.77,-6.733611,-38.260834,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Ornithischia,,,,134.435,Cretaceo,True,Dinosauria,Sud America,,Erbivoro,False
1606292,56463,Moraesichnium barberenae,species,Berriasian,Hauterivian,143.1,125.77,-6.733611,-38.260834,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,Saurischia,,Moraesichnium,134.435,Cretaceo,True,Dinosauria,Sud America,Saurischia,Erbivoro/Incertezza,False
1606295,227121,Theropoda,unranked clade,Berriasian,Hauterivian,143.1,125.77,-6.769722,-38.111668,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Reptilia,,,,134.435,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
1606296,227121,Sauropoda,unranked clade,Berriasian,Hauterivian,143.1,125.77,-6.769722,-38.111668,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Saurischia,,,,134.435,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
1606297,227121,Ornithopoda,suborder,Berriasian,Hauterivian,143.1,125.77,-6.769722,-38.111668,BR,Paraíba,Sousa,Rio do Peixe,Chordata,Ornithischia,,,,134.435,Cretaceo,True,Dinosauria,Sud America,,Erbivoro,False
1606298,58789,Dinosauria,unranked clade,Berriasian,Valanginian,143.1,132.6,-6.7531,-37.906799,BR,Paraíba,Antenor Navarro,Rio do Peixe,Chordata,Reptilia,,,,137.85,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
1606299,227122,Theropoda,unranked clade,Berriasian,Valanginian,143.1,132.6,-6.5343,-38.421398,BR,Paraíba,Antenor Navarro,Rio do Peixe,Chordata,Reptilia,,,,137.85,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
1606300,227123,Dinosauria,unranked clade,Berriasian,Valanginian,143.1,132.6,-6.5628,-38.4258,BR,Paraíba,Antenor Navarro,Rio do Peixe,Chordata,Reptilia,,,,137.85,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
1606301,227124,Ornithopoda,suborder,Berriasian,Valanginian,143.1,132.6,-6.7225,-38.234722,BR,Paraíba,Antenor Navarro,Rio do Peixe,Chordata,Ornithischia,,,,137.85,Cretaceo,True,Dinosauria,Sud America,,Erbivoro,False
1606302,58792,Theropoda,unranked clade,Berriasian,Valanginian,143.1,132.6,-6.721944,-38.195557,BR,Paraíba,Antenor Navarro,Rio do Peixe,Chordata,Reptilia,,,,137.85,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
1606303,58800,Theropoda,unranked clade,Berriasian,Hauterivian,143.1,125.77,-6.831667,-38.400002,BR,Paraíba,Rio Piranhas,Rio do Peixe,Chordata,Reptilia,,,,134.435,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
1606304,58800,Eubrontes,genus,Berriasian,Hauterivian,143.1,125.77,-6.831667,-38.400002,BR,Paraíba,Rio Piranhas,Rio do Peixe,Chordata,Reptilia,Saurischia,Grallatoridae,Eubrontes,134.435,Cretaceo,True,Dinosauria,Sud America,Saurischia,Erbivoro/Incertezza,False
1606305,58800,Eubrontidae,family,Berriasian,Hauterivian,143.1,125.77,-6.831667,-38.400002,BR,Paraíba,Rio Piranhas,Rio do Peixe,Chordata,Reptilia,Saurischia,Eubrontidae,,134.435,Cretaceo,True,Dinosauria,Sud America,Saurischia,Erbivoro/Incertezza,False
1606306,58800,Iguanodontipus,genus,Berriasian,Hauterivian,143.1,125.77,-6.831667,-38.400002,BR,Paraíba,Rio Piranhas,Rio do Peixe,Chordata,Ornithischia,,Iguanodontipodidae,Iguanodontipus,134.435,Cretaceo,True,Dinosauria,Sud America,,Erbivoro,False
1606307,58794,Theropoda,unranked clade,Late Berriasian,Barremian,139.1,121.4,-6.816944,-38.205833,BR,Paraíba,Rio Piranhas,Rio do Peixe,Chordata,Reptilia,,,,130.25,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
1606308,58794,Dinosauria,unranked clade,Late Berriasian,Barremian,139.1,121.4,-6.816944,-38.205833,BR,Paraíba,Rio Piranhas,Rio do Peixe,Chordata,Reptilia,,,,130.25,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
1606327,227125,Chirostenotes,genus,Late Campanian,,83.6,72.2,55.065277,-118.690277,CA,Alberta,Wapiti,,Chordata,Reptilia,Saurischia,Caenagnathidae,Chirostenotes,77.9,Cretaceo,True,Dinosauria,Nord America,Saurischia,Carnivoro,False
1606346,227125,Ankylosauridae,family,Late Campanian,,83.6,72.2,55.065277,-118.690277,CA,Alberta,Wapiti,,Chordata,Ornithischia,Ornithischia,Ankylosauridae,,77.9,Cretaceo,True,Dinosauria,Nord America,Ornithischia,Erbivoro,False
1606347,227125,Thescelosauridae,family,Late Campanian,,83.6,72.2,55.065277,-118.690277,CA,Alberta,Wapiti,,Chordata,Ornithischia,Ornithischia,Thescelosauridae,,77.9,Cretaceo,True,Dinosauria,Nord America,Ornithischia,Erbivoro,False
1606348,227125,Lambeosaurinae,subfamily,Late Campanian,,83.6,72.2,55.065277,-118.690277,CA,Alberta,Wapiti,,Chordata,Ornithischia,Ornithischia,Hadrosauridae,,77.9,Cretaceo,True,Dinosauria,Nord America,Ornithischia,Erbivoro,False
1606349,227125,Hadrosauridae,family,Late Campanian,,83.6,72.2,55.065277,-118.690277,CA,Alberta,Wapiti,,Chordata,Ornithischia,Ornithischia,Hadrosauridae,,77.9,Cretaceo,True,Dinosauria,Nord America,Ornithischia,Erbivoro,False
1606350,227125,Ornithischia,unranked clade,Late Campanian,,83.6,72.2,55.065277,-118.690277,CA,Alberta,Wapiti,,Chordata,Ornithischia,,,,77.9,Cretaceo,True,Dinosauria,Nord America,,Erbivoro,False
1606351,227125,Ornithomimidae,family,Late Campanian,,83.6,72.2,55.065277,-118.690277,CA,Alberta,Wapiti,,Chordata,Reptilia,Saurischia,Ornithomimidae,,77.9,Cretaceo,True,Dinosauria,Nord America,Saurischia,Carnivoro,False
1606352,227125,Tyrannosauridae,family,Late Campanian,,83.6,72.2,55.065277,-118.690277,CA,Alberta,Wapiti,,Chordata,Reptilia,Saurischia,Tyrannosauridae,,77.9,Cretaceo,True,Dinosauria,Nord America,Saurischia,Carnivoro,False
1606353,227125,Caenagnathidae,family,Late Campanian,,83.6,72.2,55.065277,-118.690277,CA,Alberta,Wapiti,,Chordata,Reptilia,Saurischia,Caenagnathidae,,77.9,Cretaceo,True,Dinosauria,Nord America,Saurischia,Carnivoro,False
1606354,227125,Dromaeosauridae,family,Late Campanian,,83.6,72.2,55.065277,-118.690277,CA,Alberta,Wapiti,,Chordata,Reptilia,Saurischia,Dromaeosauridae,,77.9,Cretaceo,True,Dinosauria,Nord America,Saurischia,Carnivoro,False
1606355,227125,Troodontidae,family,Late Campanian,,83.6,72.2,55.065277,-118.690277,CA,Alberta,Wapiti,,Chordata,Reptilia,Saurischia,Troodontidae,,77.9,Cretaceo,True,Dinosauria,Nord America,Saurischia,Carnivoro,False
1606356,227125,Hesperornithiformes,order,Late Campanian,,83.6,72.2,55.065277,-118.690277,CA,Alberta,Wapiti,,Chordata,Reptilia,Hesperornithiformes,,,77.9,Cretaceo,True,Dinosauria,Nord America,Hesperornithiformes,Altro/Non Classificato,True
1606357,227125,Theropoda,unranked clade,Late Campanian,,83.6,72.2,55.065277,-118.690277,CA,Alberta,Wapiti,,Chordata,Reptilia,,,,77.9,Cretaceo,True,Dinosauria,Nord America,,Altro/Non Classificato,False
1606358,227125,Dinosauria,unranked clade,Late Campanian,,83.6,72.2,55.065277,-118.690277,CA,Alberta,Wapiti,,Chordata,Reptilia,,,,77.9,Cretaceo,True,Dinosauria,Nord America,,Altro/Non Classificato,False
1606409,227131,Ibirania parva,species,Late Santonian,Early Campanian,85.7,72.2,-20.994722,-49.25528,BR,São Paulo,São José do Rio Preto,Bauru,Chordata,Saurischia,Saurischia,Saltasauridae,Ibirania,78.95,Cretaceo,True,Dinosauria,Sud America,Saurischia,Erbivoro/Incertezza,False
1606410,227132,Ibirania parva,species,Late Santonian,Early Campanian,85.7,72.2,-20.994722,-49.25528,BR,São Paulo,São José do Rio Preto,Bauru,Chordata,Saurischia,Saurischia,Saltasauridae,Ibirania,78.95,Cretaceo,True,Dinosauria,Sud America,Saurischia,Erbivoro/Incertezza,False
1606415,227133,Sauropoda,unranked clade,Berriasian,,143.1,137.05,41.970551,-2.23244,ES,Castilla y León,Huérteles,Oncala,Chordata,Saurischia,,,,140.075,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606416,227133,Ornithopoda,suborder,Berriasian,,143.1,137.05,41.970551,-2.23244,ES,Castilla y León,Huérteles,Oncala,Chordata,Ornithischia,,,,140.075,Cretaceo,True,Dinosauria,Europa,,Erbivoro,False
1606417,227133,Theropoda,unranked clade,Berriasian,,143.1,137.05,41.970551,-2.23244,ES,Castilla y León,Huérteles,Oncala,Chordata,Reptilia,,,,140.075,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606418,227134,Sauropoda,unranked clade,Berriasian,,143.1,137.05,41.970551,-2.23244,ES,Castilla y León,Huérteles,Oncala,Chordata,Saurischia,,,,140.075,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606419,227134,Theropoda,unranked clade,Berriasian,,143.1,137.05,41.970551,-2.23244,ES,Castilla y León,Huérteles,Oncala,Chordata,Reptilia,,,,140.075,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606421,227135,Sauropoda,unranked clade,Berriasian,,143.1,137.05,41.970551,-2.23244,ES,Castilla y León,Huérteles,Oncala,Chordata,Saurischia,,,,140.075,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
1606422,227135,Theropoda,unranked clade,Berriasian,,143.1,137.05,41.970551,-2.23244,ES,Castilla y León,Huérteles,Oncala,Chordata,Reptilia,,,,140.075,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
