occurrence_no,collection_no,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma,lat,lng,cc,state,formation,geological_group,phylum,class,order,family,genus,mid_ma,period_group,has_valid_coords,dataset_type,continente,order_raggruppato,categoria,possibile_aviano_residuo
139261,11903,Daspletosaurus torosus,species,Late Campanian,,83.6,72.2,49.083698,-110.681999,CA,Alberta,Oldman,Belly River,Chordata,Reptilia,Saurischia,Tyrannosauridae,Daspletosaurus,77.9,Cretaceo,True,Dinosauria,Nord America,Saurischia,Carnivoro,False
139290,11915,Daspletosaurus torosus,species,Middle Campanian,,83.6,72.2,50.751526,-111.485008,CA,Alberta,Oldman,Belly River,Chordata,Reptilia,Saurischia,Tyrannosauridae,Daspletosaurus,77.9,Cretaceo,True,Dinosauria,Nord America,Saurischia,Carnivoro,False
139291,11916,Albertosaurus sarcophagus,species,Early Maastrichtian,,72.2,66.0,51.928299,-112.934799,CA,Alberta,Horseshoe Canyon,Edmonton,Chordata,Reptilia,Saurischia,Tyrannosauridae,Albertosaurus,69.1,Cretaceo,True,Dinosauria,Nord America,Saurischia,Carnivoro,False
139292,11917,Tyrannosaurus rex,species,Late Maastrichtian,,72.2,66.0,51.906399,-113.0289,CA,Alberta,Scollard,,Chordata,Reptilia,Saurischia,Tyrannosauridae,Tyrannosaurus,69.1,Cretaceo,True,Dinosauria,Nord America,Saurischia,Carnivoro,False
139293,11918,Tyrannosaurus rex,species,Late Maastrichtian,,72.2,66.0,51.933334,-113.23333,CA,Alberta,Scollard,Edmonton,Chordata,Reptilia,Saurischia,Tyrannosauridae,Tyrannosaurus,69.1,Cretaceo,True,Dinosauria,Nord America,Saurischia,Carnivoro,False
139294,11919,Gryposaurus notabilis,species,Late Campanian,,83.6,72.2,50.77,-111.529999,CA,Alberta,Oldman,Belly River,Chordata,Ornithischia,Ornithischia,Hadrosauridae,Gryposaurus,77.9,Cretaceo,True,Dinosauria,Nord America,Ornithischia,Erbivoro,False
139295,11920,Theropoda,unranked clade,Hettangian,Sinemurian,201.4,192.9,41.566666,-72.633331,US,Connecticut,Portland,Agawam,Chordata,Reptilia,,,,197.15,Triassico,True,Dinosauria,Nord America,,Altro/Non Classificato,False
139306,11923,Amygdalodon patagonicus,species,Pliensbachian,Early Toarcian,192.9,182.9,-43.966667,-69.51667,AR,Chubut,Cerro Carnerero,,Chordata,Saurischia,Saurischia,,Amygdalodon,187.9,Giurassico,True,Dinosauria,Sud America,Saurischia,Erbivoro/Incertezza,False
139307,11924,Camarasaurus grandis,species,Kimmeridgian,Tithonian,154.8,143.1,39.068802,-108.699989,US,Colorado,Morrison,,Chordata,Saurischia,Saurischia,Camarasauridae,Camarasaurus,148.95,Giurassico,True,Dinosauria,Nord America,Saurischia,Erbivoro,False
139308,11925,Camarasaurus supremus,species,Kimmeridgian,,154.8,149.2,39.111668,-108.717499,US,Colorado,Morrison,,Chordata,Saurischia,Saurischia,Camarasauridae,Camarasaurus,152.0,Giurassico,True,Dinosauria,Nord America,Saurischia,Erbivoro,False
139340,11931,Ankylosaurus magniventris,species,Late Maastrichtian,,72.2,66.0,47.637699,-106.569901,US,Montana,Hell Creek,,Chordata,Ornithischia,Ornithischia,Ankylosauridae,Ankylosaurus,69.1,Cretaceo,True,Dinosauria,Nord America,Ornithischia,Erbivoro,False
139341,11932,Titanosauriformes,unranked clade,Late Aptian,Early Albian,119.57,110.1,34.18,-96.278053,US,Oklahoma,Antlers,Trinity,Chordata,Saurischia,,,,114.835,Cretaceo,True,Dinosauria,Nord America,,Altro/Non Classificato,False
144305,10760,Saurornitholestes,genus,Early Maastrichtian,,72.2,66.0,45.547501,22.9158,RO,Hunedoara,Sînpetru,,Chordata,Reptilia,Saurischia,Dromaeosauridae,Saurornitholestes,69.1,Cretaceo,True,Dinosauria,Europa,Saurischia,Carnivoro,False
144307,12584,Bistahieversor sealeyi,species,Late Campanian,,83.6,72.2,36.06028,-107.966393,US,New Mexico,Fruitland,,Chordata,Reptilia,Saurischia,Tyrannosauridae,Bistahieversor,77.9,Cretaceo,True,Dinosauria,Nord America,Saurischia,Carnivoro,False
144308,12585,Theropoda,unranked clade,Puaroan,,150.0,143.1,-37.383331,174.71666,NZ,Waikato,Huriwai Measures,,Chordata,Reptilia,,,,146.55,Giurassico,True,Dinosauria,Oceania,,Altro/Non Classificato,False
146081,12855,Abelisauridae,family,Late Maastrichtian,,72.2,66.0,-17.687,-65.940002,BO,Cochabamba,El Molino,Puca,Chordata,Reptilia,Saurischia,Abelisauridae,,69.1,Cretaceo,True,Dinosauria,Sud America,Saurischia,Carnivoro,False
147092,12977,Pachycephalosaurus wyomingensis,species,Maastrichtian,,72.2,66.0,47.695831,-106.227776,US,Montana,Hell Creek,,Chordata,Ornithischia,Ornithischia,Pachycephalosauridae,Pachycephalosaurus,69.1,Cretaceo,True,Dinosauria,Nord America,Ornithischia,Erbivoro,False
147093,12977,Hadrosauridae,family,Maastrichtian,,72.2,66.0,47.695831,-106.227776,US,Montana,Hell Creek,,Chordata,Ornithischia,Ornithischia,Hadrosauridae,,69.1,Cretaceo,True,Dinosauria,Nord America,Ornithischia,Erbivoro,False
148500,13105,Sonorasaurus thompsoni,species,Late Albian,Early Cenomanian,106.3,93.9,31.81139,-110.418053,US,Arizona,Turney Ranch,Bisbee,Chordata,Saurischia,Saurischia,Brachiosauridae,Sonorasaurus,100.1,Cretaceo,True,Dinosauria,Nord America,Saurischia,Erbivoro,False
148628,13108,Mononykus olecranus,species,Maastrichtian,,72.2,66.0,43.540001,99.599998,MN,Omnogov,Nemegt,,Chordata,Reptilia,Saurischia,Alvarezsauridae,Mononykus,69.1,Cretaceo,True,Dinosauria,Asia,Saurischia,Erbivoro/Incertezza,False
148629,13108,Tarbosaurus bataar,species,Maastrichtian,,72.2,66.0,43.540001,99.599998,MN,Omnogov,Nemegt,,Chordata,Reptilia,Saurischia,Tyrannosauridae,Tarbosaurus,69.1,Cretaceo,True,Dinosauria,Asia,Saurischia,Carnivoro,False
148633,13110,Dinosauria,unranked clade,Cretaceous,,143.1,66.0,23.380833,34.806946,EG,Al Bahr al Ahmar,Abraq,,Chordata,Reptilia,,,,104.55,Cretaceo,True,Dinosauria,Africa,,Altro/Non Classificato,False
149328,13142,Coeluridae,family,Late Maastrichtian,,72.2,66.0,47.799999,-106.099998,US,Montana,Hell Creek,,Chordata,Reptilia,,Coeluridae,,69.1,Cretaceo,True,Dinosauria,Nord America,,Altro/Non Classificato,False
149585,13209,Lithostrotia,unranked clade,Campanian,,83.6,72.2,-24.299999,-65.26667,AR,Salta,Los Blanquitos,Salta,Chordata,Saurischia,,,,77.9,Cretaceo,True,Dinosauria,Sud America,,Altro/Non Classificato,False
149586,13210,Carnosauria,infraorder,Late Maastrichtian,,72.2,66.0,-24.299999,-65.26667,AR,Salta,Yacoraite,Salta,Chordata,Reptilia,Avetheropoda,,,69.1,Cretaceo,True,Dinosauria,Sud America,Avetheropoda,Carnivoro,False
149592,13212,Allosaurus fragilis,species,Kimmeridgian,Tithonian,154.8,143.1,41.893101,-106.041,US,Wyoming,Morrison,,Chordata,Reptilia,Saurischia,Allosauridae,Allosaurus,148.95,Giurassico,True,Dinosauria,Nord America,Saurischia,Erbivoro/Incertezza,False
149596,13214,Allosaurus fragilis,species,Kimmeridgian,Tithonian,154.8,143.1,42.035831,-106.389999,US,Wyoming,Morrison,,Chordata,Reptilia,Saurischia,Allosauridae,Allosaurus,148.95,Giurassico,True,Dinosauria,Nord America,Saurischia,Erbivoro/Incertezza,False
149597,13214,Allosaurus fragilis,species,Kimmeridgian,Tithonian,154.8,143.1,42.035831,-106.389999,US,Wyoming,Morrison,,Chordata,Reptilia,Saurischia,Allosauridae,Allosaurus,148.95,Giurassico,True,Dinosauria,Nord America,Saurischia,Erbivoro/Incertezza,False
149598,13214,Diplodocus,genus,Kimmeridgian,Tithonian,154.8,143.1,42.035831,-106.389999,US,Wyoming,Morrison,,Chordata,Saurischia,Saurischia,Diplodocidae,Diplodocus,148.95,Giurassico,True,Dinosauria,Nord America,Saurischia,Erbivoro,False
149599,13214,Stegosaurus,genus,Kimmeridgian,Tithonian,154.8,143.1,42.035831,-106.389999,US,Wyoming,Morrison,,Chordata,Ornithischia,Ornithischia,Stegosauridae,Stegosaurus,148.95,Giurassico,True,Dinosauria,Nord America,Ornithischia,Erbivoro,False
149600,13214,Camarasaurus grandis,species,Kimmeridgian,Tithonian,154.8,143.1,42.035831,-106.389999,US,Wyoming,Morrison,,Chordata,Saurischia,Saurischia,Camarasauridae,Camarasaurus,148.95,Giurassico,True,Dinosauria,Nord America,Saurischia,Erbivoro,False
149601,13214,Allosaurus fragilis,species,Kimmeridgian,Tithonian,154.8,143.1,42.035831,-106.389999,US,Wyoming,Morrison,,Chordata,Reptilia,Saurischia,Allosauridae,Allosaurus,148.95,Giurassico,True,Dinosauria,Nord America,Saurischia,Erbivoro/Incertezza,False
149611,13218,Hadrosauroidea,unranked clade,Late Maastrichtian,,72.2,66.0,43.142776,0.948611,FR,Haute-Garonne,Calcarenites du Jadet,Ausseing,Chordata,Ornithischia,,,,69.1,Cretaceo,True,Dinosauria,Europa,,Erbivoro,False
149834,13263,Theropoda,unranked clade,Rhaetian,Hettangian,205.7,199.5,38.27861,-108.930832,US,Colorado,Wingate Sandstone,Glen Canyon,Chordata,Reptilia,,,,202.6,Triassico,True,Dinosauria,Nord America,,Altro/Non Classificato,False
149854,13267,Ornithopoda,suborder,Late Barremian,Early Aptian,125.77,119.57,50.62413,-1.381643,UK,England,Vectis,Wealden,Chordata,Ornithischia,,,,122.66999999999999,Cretaceo,True,Dinosauria,Europa,,Erbivoro,False
149859,13268,Theropoda,unranked clade,Late Barremian,Early Aptian,125.77,119.57,50.654499,-1.468,UK,England,Vectis,Wealden,Chordata,Reptilia,,,,122.66999999999999,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
149860,13268,Hypsilophodon,genus,Late Barremian,Early Aptian,125.77,119.57,50.654499,-1.468,UK,England,Vectis,Wealden,Chordata,Ornithischia,Ornithischia,Hypsilophodontidae,Hypsilophodon,122.66999999999999,Cretaceo,True,Dinosauria,Europa,Ornithischia,Erbivoro,False
149866,13271,Lewisuchus admixtus,species,Ladinian,,241.464,237.0,-29.823055,-67.820557,AR,La Rioja,Chañares,Agua de la Peña,Chordata,Ornithischia,,Silesauridae,Lewisuchus,239.232,Triassico,True,Dinosauria,Sud America,,Erbivoro,False
149981,13279,Scutellosaurus lawleri,species,Sinemurian,Pliensbachian,199.5,184.2,35.679169,-111.027779,US,Arizona,Kayenta,Glen Canyon,Chordata,Ornithischia,Ornithischia,,Scutellosaurus,191.85,Giurassico,True,Dinosauria,Nord America,Ornithischia,Erbivoro,False
149982,13280,Scutellosaurus lawleri,species,Sinemurian,Pliensbachian,199.5,184.2,35.736668,-111.073608,US,Arizona,Kayenta,Glen Canyon,Chordata,Ornithischia,Ornithischia,,Scutellosaurus,191.85,Giurassico,True,Dinosauria,Nord America,Ornithischia,Erbivoro,False
149983,13281,Orodromeus makelai,species,Middle Campanian,,83.6,72.2,47.8125,-112.182777,US,Montana,Two Medicine,Montana,Chordata,Ornithischia,Ornithischia,Thescelosauridae,Orodromeus,77.9,Cretaceo,True,Dinosauria,Nord America,Ornithischia,Erbivoro,False
149984,13282,Lambeosaurinae,subfamily,Late Campanian,,83.6,72.2,47.82,-112.660004,US,Montana,Two Medicine,Montana,Chordata,Ornithischia,Ornithischia,Hadrosauridae,,77.9,Cretaceo,True,Dinosauria,Nord America,Ornithischia,Erbivoro,False
149987,13284,Goyocephale lattimorei,species,Santonian,Maastrichtian,85.7,66.0,48.583332,102.066666,MN,Omnogov,,,Chordata,Ornithischia,Ornithischia,,Goyocephale,75.85,Cretaceo,True,Dinosauria,Asia,Ornithischia,Erbivoro,False
149988,13285,Efraasia minor,species,Norian,,227.3,205.7,49.023609,8.978333,DE,Baden-Württemberg,Löwenstein,Keuper,Chordata,Saurischia,Saurischia,,Efraasia,216.5,Triassico,True,Dinosauria,Europa,Saurischia,Erbivoro/Incertezza,False
149989,13286,Tethyshadros insularis,species,Early Campanian,Middle Campanian,83.6,72.2,45.77861,13.588611,IT,Friuli-Venezia Giulia,Aurisina,,Chordata,Ornithischia,Ornithischia,Telmatosauridae,Tethyshadros,77.9,Cretaceo,True,Dinosauria,Europa,Ornithischia,Erbivoro,False
150084,13294,Dinosauria,unranked clade,Late Maastrichtian,,72.2,66.0,39.267223,-111.254166,US,Utah,North Horn,,Chordata,Reptilia,,,,69.1,Cretaceo,True,Dinosauria,Nord America,,Altro/Non Classificato,False
150138,13301,Ichthyornis dispar,species,Early Coniacian,Santonian,89.8,83.6,39.0,-101.0,US,Kansas,Niobrara,Colorado,Chordata,Reptilia,Ichthyornithes,,Ichthyornis,86.69999999999999,Cretaceo,True,Dinosauria,Nord America,Ichthyornithes,Altro/Non Classificato,True
150139,13301,Hesperornis,genus,Early Coniacian,Santonian,89.8,83.6,39.0,-101.0,US,Kansas,Niobrara,Colorado,Chordata,Reptilia,Hesperornithiformes,Hesperornithidae,Hesperornis,86.69999999999999,Cretaceo,True,Dinosauria,Nord America,Hesperornithiformes,Altro/Non Classificato,True
